BLEU: 25.54	self-BLEU: 18.50	iBLEU: 12.33	unc: 0.70
BLEU: 24.57	self-BLEU: 15.23	iBLEU: 12.63	unc: 0.56
BLEU: 23.71	self-BLEU: 13.90	iBLEU: 12.43	unc: 0.44
BLEU: 23.08	self-BLEU: 13.19	iBLEU: 12.20	unc: 0.39
BLEU: 22.65	self-BLEU: 12.58	iBLEU: 12.08	unc: 0.32
BLEU: 22.34	self-BLEU: 12.23	iBLEU: 11.97	unc: 0.31
BLEU: 22.02	self-BLEU: 11.80	iBLEU: 11.88	unc: 0.29
BLEU: 21.72	self-BLEU: 11.47	iBLEU: 11.76	unc: 0.27
BLEU: 21.52	self-BLEU: 11.22	iBLEU: 11.70	unc: 0.27
BLEU: 21.32	self-BLEU: 10.98	iBLEU: 11.63	unc: 0.24
BLEU: 21.12	self-BLEU: 10.79	iBLEU: 11.55	unc: 0.25
BLEU: 20.93	self-BLEU: 10.57	iBLEU: 11.48	unc: 0.21
BLEU: 20.76	self-BLEU: 10.38	iBLEU: 11.42	unc: 0.20
BLEU: 20.74	self-BLEU: 10.21	iBLEU: 11.46	unc: 0.19
BLEU: 20.60	self-BLEU: 10.15	iBLEU: 11.37	unc: 0.18
BLEU: 20.40	self-BLEU: 9.99	iBLEU: 11.29	unc: 0.18
BLEU: 20.39	self-BLEU: 9.93	iBLEU: 11.29	unc: 0.17
BLEU: 20.29	self-BLEU: 9.79	iBLEU: 11.27	unc: 0.18
BLEU: 20.20	self-BLEU: 9.80	iBLEU: 11.20	unc: 0.18
BLEU: 20.17	self-BLEU: 9.69	iBLEU: 11.21	unc: 0.18
BLEU: 20.13	self-BLEU: 9.61	iBLEU: 11.21	unc: 0.16
BLEU: 20.08	self-BLEU: 9.64	iBLEU: 11.16	unc: 0.18
BLEU: 20.00	self-BLEU: 9.54	iBLEU: 11.14	unc: 0.15
BLEU: 19.90	self-BLEU: 9.47	iBLEU: 11.09	unc: 0.16
BLEU: 19.84	self-BLEU: 9.41	iBLEU: 11.07	unc: 0.17
BLEU: 19.80	self-BLEU: 9.39	iBLEU: 11.04	unc: 0.17
BLEU: 19.74	self-BLEU: 9.35	iBLEU: 11.01	unc: 0.15
BLEU: 19.69	self-BLEU: 9.30	iBLEU: 10.99	unc: 0.17
BLEU: 19.68	self-BLEU: 9.25	iBLEU: 11.00	unc: 0.17
BLEU: 19.71	self-BLEU: 9.20	iBLEU: 11.03	unc: 0.15
BLEU: 19.61	self-BLEU: 9.18	iBLEU: 10.97	unc: 0.15
BLEU: 19.63	self-BLEU: 9.12	iBLEU: 11.00	unc: 0.15
BLEU: 19.58	self-BLEU: 9.14	iBLEU: 10.96	unc: 0.14
BLEU: 19.58	self-BLEU: 9.11	iBLEU: 10.97	unc: 0.15
BLEU: 19.49	self-BLEU: 9.06	iBLEU: 10.92	unc: 0.12
BLEU: 19.54	self-BLEU: 9.09	iBLEU: 10.95	unc: 0.14
BLEU: 19.48	self-BLEU: 8.98	iBLEU: 10.94	unc: 0.14
BLEU: 19.55	self-BLEU: 9.06	iBLEU: 10.97	unc: 0.14
BLEU: 19.48	self-BLEU: 8.98	iBLEU: 10.94	unc: 0.14
BLEU: 19.46	self-BLEU: 9.02	iBLEU: 10.91	unc: 0.15
BLEU: 19.47	self-BLEU: 8.99	iBLEU: 10.93	unc: 0.14
BLEU: 19.49	self-BLEU: 9.00	iBLEU: 10.94	unc: 0.15
BLEU: 19.50	self-BLEU: 8.95	iBLEU: 10.96	unc: 0.15
BLEU: 19.49	self-BLEU: 9.02	iBLEU: 10.94	unc: 0.15
BLEU: 19.46	self-BLEU: 8.96	iBLEU: 10.93	unc: 0.14
BLEU: 19.49	self-BLEU: 8.95	iBLEU: 10.96	unc: 0.14
BLEU: 19.47	self-BLEU: 8.93	iBLEU: 10.95	unc: 0.13
BLEU: 19.52	self-BLEU: 8.96	iBLEU: 10.97	unc: 0.15
BLEU: 19.52	self-BLEU: 8.91	iBLEU: 10.99	unc: 0.14
BLEU: 19.48	self-BLEU: 8.97	iBLEU: 10.95	unc: 0.14
BLEU: 19.51	self-BLEU: 8.96	iBLEU: 10.97	unc: 0.14
BLEU: 19.52	self-BLEU: 8.93	iBLEU: 10.98	unc: 0.14
BLEU: 19.51	self-BLEU: 8.92	iBLEU: 10.98	unc: 0.15
BLEU: 19.60	self-BLEU: 8.96	iBLEU: 11.03	unc: 0.15
BLEU: 19.49	self-BLEU: 8.94	iBLEU: 10.96	unc: 0.15
BLEU: 19.47	self-BLEU: 8.93	iBLEU: 10.95	unc: 0.15
BLEU: 19.46	self-BLEU: 8.90	iBLEU: 10.95	unc: 0.15
BLEU: 19.51	self-BLEU: 8.94	iBLEU: 10.97	unc: 0.15
BLEU: 19.48	self-BLEU: 8.93	iBLEU: 10.96	unc: 0.14
BLEU: 19.49	self-BLEU: 8.95	iBLEU: 10.96	unc: 0.14
BLEU: 19.45	self-BLEU: 8.91	iBLEU: 10.94	unc: 0.15
BLEU: 19.48	self-BLEU: 8.94	iBLEU: 10.95	unc: 0.14
BLEU: 19.44	self-BLEU: 8.91	iBLEU: 10.93	unc: 0.15
BLEU: 19.50	self-BLEU: 8.96	iBLEU: 10.97	unc: 0.15
BLEU: 19.49	self-BLEU: 8.91	iBLEU: 10.97	unc: 0.15
BLEU: 19.48	self-BLEU: 8.93	iBLEU: 10.96	unc: 0.15
BLEU: 19.53	self-BLEU: 8.90	iBLEU: 11.00	unc: 0.15
BLEU: 19.52	self-BLEU: 8.91	iBLEU: 10.99	unc: 0.14
BLEU: 19.50	self-BLEU: 8.92	iBLEU: 10.98	unc: 0.14
BLEU: 19.50	self-BLEU: 8.91	iBLEU: 10.98	unc: 0.14
BLEU: 19.50	self-BLEU: 8.89	iBLEU: 10.98	unc: 0.14
BLEU: 19.51	self-BLEU: 8.89	iBLEU: 10.99	unc: 0.14
BLEU: 19.52	self-BLEU: 8.90	iBLEU: 10.99	unc: 0.14
BLEU: 19.54	self-BLEU: 8.89	iBLEU: 11.01	unc: 0.14
BLEU: 19.49	self-BLEU: 8.88	iBLEU: 10.98	unc: 0.14
BLEU: 19.50	self-BLEU: 8.90	iBLEU: 10.98	unc: 0.14
BLEU: 19.50	self-BLEU: 8.89	iBLEU: 10.99	unc: 0.15
BLEU: 19.48	self-BLEU: 8.90	iBLEU: 10.96	unc: 0.15
BLEU: 19.48	self-BLEU: 8.88	iBLEU: 10.97	unc: 0.15
BLEU: 19.48	self-BLEU: 8.90	iBLEU: 10.96	unc: 0.15
BLEU: 19.46	self-BLEU: 8.88	iBLEU: 10.95	unc: 0.15
BLEU: 19.46	self-BLEU: 8.91	iBLEU: 10.94	unc: 0.15
BLEU: 19.47	self-BLEU: 8.90	iBLEU: 10.96	unc: 0.15
BLEU: 19.48	self-BLEU: 8.92	iBLEU: 10.96	unc: 0.15
BLEU: 19.48	self-BLEU: 8.90	iBLEU: 10.97	unc: 0.15
BLEU: 19.49	self-BLEU: 8.90	iBLEU: 10.97	unc: 0.15
BLEU: 19.48	self-BLEU: 8.89	iBLEU: 10.97	unc: 0.15
BLEU: 19.49	self-BLEU: 8.91	iBLEU: 10.97	unc: 0.15
BLEU: 19.48	self-BLEU: 8.89	iBLEU: 10.96	unc: 0.14
BLEU: 19.50	self-BLEU: 8.92	iBLEU: 10.97	unc: 0.14
BLEU: 19.48	self-BLEU: 8.92	iBLEU: 10.96	unc: 0.15
BLEU: 19.47	self-BLEU: 8.91	iBLEU: 10.95	unc: 0.14
BLEU: 19.45	self-BLEU: 8.90	iBLEU: 10.95	unc: 0.15
BLEU: 19.48	self-BLEU: 8.91	iBLEU: 10.97	unc: 0.15
BLEU: 19.45	self-BLEU: 8.90	iBLEU: 10.95	unc: 0.14
BLEU: 19.48	self-BLEU: 8.92	iBLEU: 10.96	unc: 0.14
BLEU: 19.43	self-BLEU: 8.90	iBLEU: 10.93	unc: 0.15
BLEU: 19.48	self-BLEU: 8.91	iBLEU: 10.97	unc: 0.14
BLEU: 19.43	self-BLEU: 8.91	iBLEU: 10.93	unc: 0.15
BLEU: 19.46	self-BLEU: 8.93	iBLEU: 10.94	unc: 0.15
