BLEU: 28.02	self-BLEU: 54.47	iBLEU: 3.28	unc: 18.67
BLEU: 25.90	self-BLEU: 46.41	iBLEU: 4.20	unc: 13.15
BLEU: 24.61	self-BLEU: 42.41	iBLEU: 4.51	unc: 10.60
BLEU: 23.71	self-BLEU: 39.81	iBLEU: 4.65	unc: 8.98
BLEU: 23.15	self-BLEU: 37.89	iBLEU: 4.84	unc: 8.00
BLEU: 22.62	self-BLEU: 36.39	iBLEU: 4.92	unc: 7.34
BLEU: 22.15	self-BLEU: 35.16	iBLEU: 4.96	unc: 6.60
BLEU: 21.71	self-BLEU: 34.15	iBLEU: 4.95	unc: 6.05
BLEU: 21.39	self-BLEU: 33.33	iBLEU: 4.97	unc: 5.79
BLEU: 21.04	self-BLEU: 32.61	iBLEU: 4.95	unc: 5.55
BLEU: 20.94	self-BLEU: 31.97	iBLEU: 5.07	unc: 5.24
BLEU: 20.64	self-BLEU: 31.38	iBLEU: 5.03	unc: 4.92
BLEU: 20.48	self-BLEU: 31.05	iBLEU: 5.02	unc: 4.87
BLEU: 20.40	self-BLEU: 30.64	iBLEU: 5.09	unc: 4.69
BLEU: 20.35	self-BLEU: 30.19	iBLEU: 5.19	unc: 4.45
BLEU: 20.08	self-BLEU: 29.78	iBLEU: 5.12	unc: 4.38
BLEU: 20.00	self-BLEU: 29.44	iBLEU: 5.17	unc: 4.23
BLEU: 19.83	self-BLEU: 29.18	iBLEU: 5.12	unc: 4.12
BLEU: 19.80	self-BLEU: 28.90	iBLEU: 5.19	unc: 4.06
BLEU: 19.56	self-BLEU: 28.64	iBLEU: 5.10	unc: 4.00
BLEU: 19.53	self-BLEU: 28.40	iBLEU: 5.15	unc: 3.98
BLEU: 19.43	self-BLEU: 28.22	iBLEU: 5.13	unc: 3.92
BLEU: 19.29	self-BLEU: 28.09	iBLEU: 5.08	unc: 3.86
BLEU: 19.22	self-BLEU: 27.82	iBLEU: 5.10	unc: 3.67
BLEU: 19.19	self-BLEU: 27.61	iBLEU: 5.15	unc: 3.65
BLEU: 19.14	self-BLEU: 27.52	iBLEU: 5.14	unc: 3.65
BLEU: 19.08	self-BLEU: 27.37	iBLEU: 5.14	unc: 3.64
BLEU: 19.05	self-BLEU: 27.25	iBLEU: 5.16	unc: 3.60
BLEU: 18.98	self-BLEU: 27.10	iBLEU: 5.15	unc: 3.59
